MOBILE_NUMBER,CERT_NO,NAME,CERT_TYPE,GENDER,AGE,INNET_DATE,AREA_ID,PAY_MODE,SERVICE_TYPE,GROUP_FLAG,USER_STATUS,STOP_MONTH,TOTAL_FEE_FIRST,OUT_FLUX_FEE_FIRST,OUT_CALL_FEE_FIRST,INTER_LONG_FEE_FIRST,INCR_FEE_FIRST,TOTAL_FEE_SECOND,OUT_FLUX_FEE_SECOND,OUT_CALL_FEE_SECOND,INTER_LONG_FEE_SECOND,TOTAL_FEE_THIRD,OUT_FLUX_FEE_THIRD,OUT_CALL_FEE_THIRD,INTER_LONG_FEE_THIRD,OUT_DURA_M1,OUT_NUM_M1,IN_DURA_M1,IN_NUM_M1,OUT_COUNROAM_NUM_M1,OUT_INTERROAM_NUM_M1,IN_COUNROAM_NUM_M1,IN_INTERROAM_NUM_M1,OUT_COUNLONG_NUM_M1,OUT_INTERLONG_NUM_M1,TOTAL_FLUX_M1,FREE_FLUX_M1,BILL_FLUX_M1,FACTORY_DESC,UP_TIME,DEV_CHANGE_NUM_Y1,WEIXIN_APP_NUM_M1,WX_VISIT_CNT_M1,WX_ACTIVE_MAX_DAYS_M1,GOUWU_APP_NUM_M1,GW_VISIT_CNT_M1,GW_ACTIVE_MAX_DAYS_M1,SJYH_APP_NUM_M1,SJYH_VISIT_CNT_M1,SJYH_ACTIVE_MAX_DAYS_M1,WAIMAI_APP_NUM_M1,WM_VISIT_CNT_M1,WM_ACTIVE_MAX_DAYS_M1,daikuan_app_num_m3,REAL_HOME_FLAG_M1,LIKE_HOME_FLAG_M1,REAL_WORK_FLAG_M1,LIKE_WORK_FLAG_M1,ST_NUM_M1,MONTH_ID,Y
13000000001,A00000001,A00000001,0101,2,28,05/21/2008,V0142400,01,40AAAAAA,0,11,0,619.65,563.4,30.15,0.0,0,685.8,600.0,58.5,0.0,214.6,80.1,42.3,0.0,194.96666667,123,146.1,97,7,0,3,0,15,0,2327.157956,533.90923688,1793.2487192,苹果,2017-05-13,1,1,13361,26,13,1218,23,0,,,1,1,1,16,0,0,0,0,364,201802,0
13000000002,A00000002,A00000002,0101,1,32,01/30/2009,V0110000,04,30AAAAAA,0,12,0,44.54,10.0,17.04,0.0,0,39.63,10.99,10.44,0.0,38.02,10.0,9.12,0.0,116.016667,49,123.166665,62,0,0,0,0,20,0,336.42480468,336.42480468,0,苹果,2017-06-24,4,1,3217,27,8,687,23,4,52,2,1,3,2,4,1,1,0,1,69,201801,0
13000000003,A00000003,A00000003,0101,2,21,06/30/2013,V0431000,01,40AAAAAA,1,11,0,115.06,9.72,0,0.0,18,133.7,4.66,22.65,0.0,122.57,7.03,0,0.0,148.8,202,181.93333333,195,28,0,16,0,21,0,2064.425353,2027.2682609,37.15709209,苹果,2017-03-19,1,1,21663,29,6,426,14,1,82,3,1,85,3,5,1,1,0,0,271,201803,0
13000000004,A00000004,A00000004,0101,1,34,03/17/2011,V0522400,01,30AAAAAA,1,11,0,523.83,280.83,0,0.0,0,286.99,43.89,0,0.0,203.0,0.0,0,0.0,62.666671,88,99.85,109,22,0,47,0,2,0,6907.9439249,5996.912362,911.0315628,苹果,2017-01-04,1,1,30812,31,15,559,24,2,327,20,1,31,3,18,1,1,0,1,55,201801,0
13000000005,A00000005,A00000005,0101,1,34,08/09/2013,V0450100,01,40AAAAAA,0,11,0,226.98,120.0,0,0.0,10.3,226.68,120.0,0,0.0,227.88,120.0,0,0.0,593.6,53,467.16666667,76,5,0,8,0,34,0,4383.2624473,3985.4290609,397.83338641,华为,2017-10-24,1,1,32306,31,10,2984,30,1,5,4,1,4,4,16,0,1,0,0,152,201801,0
13000000006,A00000006,A00000006,0101,2,33,02/25/2017,V0120000,01,40AAAAAA,0,11,0,37.5,14.8,3.7,0.0,0,25.1,4.8,1.3,0.0,27.9,7.4,1.5,0.0,22.333333333,29,28.916666667,20,29,0,20,0,0,0,1178.5930099,1002.0503997,176.54261017,维沃,2017-02-25,1,1,8042,25,9,1160,23,0,,,0,,,3,0,0,1,1,67,201803,0
13000000007,A00000007,A00000007,0101,2,48,11/28/2014,V0420100,01,40AAAAAA,0,11,0,222.6,60.0,0,0.0,3,146.2,53.4,0,0.0,132.9,60.0,0,0.0,117.48333333,42,149.18333333,49,4,0,13,0,11,0,34138.036341,33900.796197,237.24014377,苹果,2016-06-18,1,1,33446,31,10,2575,31,3,122,6,1,4,1,8,0,1,0,1,57,201801,0
13000000008,A00000008,A00000008,0101,1,21,10/03/2013,V0460100,01,40AAAAAA,0,11,0,117.0,0.0,0,0.0,0,114.1,0.0,0,0.0,106.4,0.0,0,0.0,71.15,120,118.23333333,172,0,0,0,0,0,0,11237.48203,11228.939272,8.5427579899,苹果,2017-02-13,1,1,52699,31,17,9885,31,0,,,3,296,12,11,1,1,0,0,262,201801,0
13000000009,A00000009,A00000009,0101,1,27,10/07/2013,V0370600,01,40AAAAAA,0,11,0,80.35,0.0,0,0.0,0,80.35,0.0,0,0.0,80.32,37.8,0,0.0,242.98333333,183,257.25,189,0,0,0,0,0,0,3903.8822545,3903.8822545,0,苹果,2015-10-31,1,1,12316,25,5,395,18,0,,,1,16,5,4,1,1,0,0,471,201801,0
13000000010,A00000010,A00000010,0101,1,23,12/18/2017,V0520100,01,30AAAAAA,0,11,0,109.2,0.0,0,0.0,0,111.9,0.0,0,0.0,108.2,0.0,0,0.0,216.649998,108,164.199999,159,0,0,0,0,6,0,8828.5590257,8828.5590257,0,苹果,2018-01-02,2,1,4394,31,12,575,19,0,,,0,,,5,0,1,0,0,85,201803,0
